date,leads_actual,leads_forecast,Nameplate
2019-07-24,577.0,,Cat1
2019-07-25,566.0,,Cat1
2019-07-26,541.0,,Cat1
2019-07-27,553.0,,Cat1
2019-07-28,511.0,,Cat1
2019-07-29,604.0,,Cat1
2019-07-30,601.0,,Cat1
2019-07-31,539.0,,Cat1
2019-01-08,717.0,,Cat1
2019-02-08,819.0,,Cat1
2019-03-08,768.0,,Cat1
2019-04-08,676.0,,Cat1
2019-05-08,758.0,,Cat1
2019-06-08,816.0,,Cat1
2019-07-08,665.0,,Cat1
2019-08-08,785.0,,Cat1
2019-09-08,634.0,,Cat1
2019-10-08,766.0,,Cat1
2019-11-08,703.0,,Cat1
2019-12-08,716.0,,Cat1
2019-08-13,676.0,,Cat1
2019-08-14,711.0,,Cat1
2019-08-15,765.0,,Cat1
2019-08-16,653.0,,Cat1
2019-08-17,728.0,,Cat1
2019-08-18,651.0,,Cat1
2019-08-19,721.0,,Cat1
2019-08-20,704.0,,Cat1
2019-08-21,673.0,,Cat1
2019-08-22,698.0,,Cat1
2019-08-23,640.0,,Cat1
2019-08-24,615.0,,Cat1
2019-08-25,607.0,,Cat1
2019-08-26,647.0,,Cat1
2019-08-27,646.0,,Cat1
2019-08-28,671.0,,Cat1
2019-08-29,650.0,,Cat1
2019-08-30,644.0,,Cat1
2019-08-31,595.0,,Cat1
2019-01-09,626.0,,Cat1
2019-02-09,701.0,,Cat1
2019-03-09,580.0,,Cat1
2019-04-09,522.0,,Cat1
2019-05-09,553.0,,Cat1
2019-06-09,556.0,,Cat1
2019-07-09,569.0,,Cat1
2019-08-09,616.0,,Cat1
2019-09-09,671.0,,Cat1
2019-10-09,557.0,,Cat1
2019-11-09,634.0,,Cat1
2019-12-09,578.0,,Cat1
2019-09-13,484.0,,Cat1
2019-09-14,427.0,,Cat1
2019-09-15,404.0,,Cat1
2019-09-16,578.0,,Cat1
2019-09-17,508.0,,Cat1
2019-09-18,569.0,,Cat1
2019-09-19,568.0,,Cat1
2019-09-20,549.0,,Cat1
2019-09-21,565.0,,Cat1
2019-09-22,381.0,,Cat1
2019-09-23,486.0,,Cat1
2019-09-24,529.0,,Cat1
2019-09-25,512.0,,Cat1
2019-09-26,549.0,,Cat1
2019-09-27,535.0,,Cat1
2019-09-28,557.0,,Cat1
2019-09-29,549.0,,Cat1
2019-09-30,535.0,,Cat1
2019-01-10,553.0,,Cat1
2019-02-10,567.0,,Cat1
2019-03-10,599.0,,Cat1
2019-04-10,584.0,,Cat1
2019-05-10,571.0,,Cat1
2019-06-10,574.0,,Cat1
2019-07-10,562.0,,Cat1
2019-08-10,520.0,,Cat1
2019-09-10,487.0,,Cat1
2019-10-10,462.0,,Cat1
2019-11-10,428.0,,Cat1
2019-12-10,532.0,,Cat1
2019-10-13,432.0,,Cat1
2019-10-14,511.0,,Cat1
2019-10-15,514.0,,Cat1
2019-10-16,490.0,,Cat1
2019-10-17,479.0,,Cat1
2019-10-18,499.0,,Cat1
2019-10-19,414.0,,Cat1
2019-10-20,455.0,,Cat1
2019-10-21,514.0,,Cat1
2019-10-22,501.0,,Cat1
2019-10-23,484.0,,Cat1
2019-10-24,507.0,,Cat1
2019-10-25,514.0,,Cat1
2019-10-26,503.0,,Cat1
2019-10-27,447.0,,Cat1
2019-10-28,488.0,,Cat1
2019-10-29,539.0,,Cat1
2019-10-30,510.0,,Cat1
2019-10-31,422.0,,Cat1
2019-01-11,514.0,,Cat1
2019-02-11,517.0,,Cat1
2019-03-11,590.0,,Cat1
2019-04-11,558.0,,Cat1
2019-05-11,555.0,,Cat1
2019-06-11,565.0,,Cat1
2019-07-11,611.0,,Cat1
2019-08-11,510.0,,Cat1
2019-09-11,564.0,,Cat1
2019-10-11,489.0,,Cat1
2019-11-11,553.0,,Cat1
2019-12-11,579.0,,Cat1
2019-11-13,578.0,,Cat1
2019-11-14,572.0,,Cat1
2019-11-15,503.0,,Cat1
2019-11-16,522.0,,Cat1
2019-11-17,479.0,,Cat1
2019-11-18,525.0,,Cat1
2019-11-19,548.0,,Cat1
2019-11-20,488.0,,Cat1
2019-11-21,597.0,,Cat1
2019-11-22,528.0,,Cat1
2019-11-23,2.0,,Cat1
2019-11-24,527.0,,Cat1
2019-11-25,537.0,,Cat1
2019-11-26,535.0,,Cat1
2019-11-27,482.0,,Cat1
2019-11-28,464.0,,Cat1
2019-11-29,578.0,,Cat1
2019-11-30,467.0,,Cat1
2019-01-12,487.0,,Cat1
2019-02-12,492.0,,Cat1
2019-03-12,406.0,,Cat1
2019-04-12,450.0,,Cat1
2019-05-12,528.0,,Cat1
2019-06-12,492.0,,Cat1
2019-07-12,541.0,,Cat1
2019-08-12,477.0,,Cat1
2019-09-12,560.0,,Cat1
2019-10-12,543.0,,Cat1
2019-11-12,612.0,,Cat1
2019-12-12,610.0,,Cat1
2019-12-13,596.0,,Cat1
2019-12-14,592.0,,Cat1
2019-12-15,532.0,,Cat1
2019-12-16,660.0,,Cat1
2019-12-17,573.0,,Cat1
2019-12-18,543.0,,Cat1
2019-12-19,479.0,,Cat1
2019-12-20,550.0,,Cat1
2019-12-21,572.0,,Cat1
2019-12-22,486.0,,Cat1
2019-12-23,577.0,,Cat1
2019-12-24,553.0,,Cat1
2019-12-25,474.0,,Cat1
2019-12-26,607.0,,Cat1
2019-12-27,624.0,,Cat1
2019-12-28,589.0,,Cat1
2019-12-29,487.0,,Cat1
2019-12-30,540.0,,Cat1
2019-12-31,468.0,,Cat1
2020-01-01,550.0,,Cat1
2020-02-01,541.0,,Cat1
2020-03-01,468.0,,Cat1
2020-04-01,509.0,,Cat1
2020-05-01,553.0,,Cat1
2020-06-01,575.0,,Cat1
2020-01-13,501.0,,Cat1
2020-01-14,521.0,,Cat1
2020-01-15,516.0,,Cat1
2020-01-16,581.0,,Cat1
2020-01-17,480.0,,Cat1
2020-01-18,526.0,,Cat1
2020-01-19,510.0,,Cat1
2020-01-20,535.0,,Cat1
2020-01-21,538.0,,Cat1
2020-01-22,463.0,,Cat1
2020-01-23,492.0,,Cat1
2020-01-24,489.0,,Cat1
2020-01-25,517.0,,Cat1
2020-01-26,378.0,,Cat1
2020-01-27,494.0,,Cat1
2020-01-28,479.0,,Cat1
2020-01-29,453.0,,Cat1
2020-01-30,440.0,,Cat1
2020-01-31,395.0,,Cat1
2020-01-02,464.0,,Cat1
2020-02-02,472.0,,Cat1
2020-03-02,468.0,,Cat1
2020-04-02,451.0,,Cat1
2020-05-02,488.0,,Cat1
2020-06-02,501.0,,Cat1
2020-02-13,519.0,,Cat1
2020-02-14,474.0,,Cat1
2020-02-15,551.0,,Cat1
2020-02-16,525.0,,Cat1
2020-02-17,573.0,,Cat1
2020-02-18,513.0,,Cat1
2020-02-19,501.0,,Cat1
2020-02-20,504.0,,Cat1
2020-02-21,525.0,,Cat1
2020-02-22,502.0,,Cat1
2020-02-23,506.0,,Cat1
2020-02-24,507.0,,Cat1
2020-02-25,518.0,,Cat1
2020-02-26,542.0,,Cat1
2020-02-27,471.0,,Cat1
2020-02-28,538.0,,Cat1
2020-02-29,489.0,,Cat1
2020-01-03,485.0,,Cat1
2020-02-03,526.0,,Cat1
2020-03-03,556.0,,Cat1
2020-04-03,569.0,,Cat1
2020-05-03,0.0,,Cat1
2020-06-03,0.0,,Cat1
2020-03-13,481.0,,Cat1
2020-03-14,543.0,,Cat1
2020-03-15,504.0,,Cat1
2020-03-16,518.0,,Cat1
2020-03-17,503.0,,Cat1
2020-03-18,582.0,,Cat1
2020-03-19,504.0,,Cat1
2020-03-20,558.0,,Cat1
